127.0.0.1, 2012-08-11 03:57:25, GET, /ecommerce/static/js/calendar.js, HTTP/1.1, 200, 0.001667
127.0.0.1, 2012-08-11 03:57:25, GET, /ecommerce/static/js/web2py.js, HTTP/1.1, 200, 0.000686
127.0.0.1, 2012-08-11 03:57:25, GET, /ecommerce/static/js/bootstrap.js, HTTP/1.1, 200, 0.000713
127.0.0.1, 2012-08-11 03:57:33, GET, /product/list, HTTP/1.1, 200, 0.047432
127.0.0.1, 2012-08-11 03:57:33, GET, /ecommerce/static/img/glyphicons-halflings.png, HTTP/1.1, 200, 0.000673
127.0.0.1, 2012-08-11 03:57:42, GET, /product/list, HTTP/1.1, 200, 0.045639
127.0.0.1, 2012-08-11 03:57:42, GET, /ecommerce/static/css/bootstrap-responsive.css, HTTP/1.1, 200, 0.002717
127.0.0.1, 2012-08-11 03:57:42, GET, /ecommerce/static/css/bootstrap.css, HTTP/1.1, 200, 0.003742
127.0.0.1, 2012-08-11 03:57:42, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 200, 0.003634
127.0.0.1, 2012-08-11 03:57:42, GET, /ecommerce/static/js/jquery.js, HTTP/1.1, 200, 0.002472
127.0.0.1, 2012-08-11 03:57:42, GET, /ecommerce/static/js/calendar.js, HTTP/1.1, 200, 0.002446
127.0.0.1, 2012-08-11 03:57:42, GET, /ecommerce/static/css/calendar.css, HTTP/1.1, 200, 0.005379
127.0.0.1, 2012-08-11 03:57:42, GET, /ecommerce/static/js/web2py.js, HTTP/1.1, 200, 0.001715
127.0.0.1, 2012-08-11 03:57:42, GET, /ecommerce/static/js/bootstrap.js, HTTP/1.1, 200, 0.000408
127.0.0.1, 2012-08-11 03:57:43, GET, /ecommerce/static/img/glyphicons-halflings.png, HTTP/1.1, 200, 0.000458
127.0.0.1, 2012-08-11 03:57:43, GET, /product/list, HTTP/1.1, 200, 0.053480
127.0.0.1, 2012-08-11 03:57:43, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 200, 0.002203
127.0.0.1, 2012-08-11 03:57:43, GET, /ecommerce/static/css/bootstrap-responsive.css, HTTP/1.1, 200, 0.001735
127.0.0.1, 2012-08-11 03:57:43, GET, /ecommerce/static/css/calendar.css, HTTP/1.1, 200, 0.003289
127.0.0.1, 2012-08-11 03:57:43, GET, /ecommerce/static/js/calendar.js, HTTP/1.1, 200, 0.002412
127.0.0.1, 2012-08-11 03:57:43, GET, /ecommerce/static/css/bootstrap.css, HTTP/1.1, 200, 0.005316
127.0.0.1, 2012-08-11 03:57:43, GET, /ecommerce/static/js/jquery.js, HTTP/1.1, 200, 0.005740
127.0.0.1, 2012-08-11 03:57:43, GET, /ecommerce/static/js/bootstrap.js, HTTP/1.1, 200, 0.001206
127.0.0.1, 2012-08-11 03:57:43, GET, /ecommerce/static/js/web2py.js, HTTP/1.1, 200, 0.001007
127.0.0.1, 2012-08-11 03:57:43, GET, /ecommerce/static/img/glyphicons-halflings.png, HTTP/1.1, 200, 0.000689
127.0.0.1, 2012-08-11 03:58:25, GET, /product/list, HTTP/1.1, 200, 0.024954
127.0.0.1, 2012-08-11 03:58:25, GET, /ecommerce/static/js/jquery.js, HTTP/1.1, 200, 0.001804
127.0.0.1, 2012-08-11 03:58:25, GET, /ecommerce/static/css/bootstrap.css, HTTP/1.1, 200, 0.004462
127.0.0.1, 2012-08-11 03:58:25, GET, /ecommerce/static/js/calendar.js, HTTP/1.1, 200, 0.001810
127.0.0.1, 2012-08-11 03:58:25, GET, /ecommerce/static/css/calendar.css, HTTP/1.1, 200, 0.003799
127.0.0.1, 2012-08-11 03:58:25, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 200, 0.003214
127.0.0.1, 2012-08-11 03:58:25, GET, /ecommerce/static/css/bootstrap-responsive.css, HTTP/1.1, 200, 0.002894
127.0.0.1, 2012-08-11 03:58:25, GET, /ecommerce/static/js/web2py.js, HTTP/1.1, 200, 0.001297
127.0.0.1, 2012-08-11 03:58:25, GET, /ecommerce/static/js/bootstrap.js, HTTP/1.1, 200, 0.000980
127.0.0.1, 2012-08-11 03:58:42, GET, /product/list, HTTP/1.1, 200, 0.045353
127.0.0.1, 2012-08-11 03:58:42, GET, /ecommerce/static/css/calendar.css, HTTP/1.1, 200, 0.001892
127.0.0.1, 2012-08-11 03:58:42, GET, /ecommerce/static/css/bootstrap.css, HTTP/1.1, 200, 0.002079
127.0.0.1, 2012-08-11 03:58:42, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 200, 0.003906
127.0.0.1, 2012-08-11 03:58:42, GET, /ecommerce/static/js/calendar.js, HTTP/1.1, 200, 0.001762
127.0.0.1, 2012-08-11 03:58:42, GET, /ecommerce/static/css/bootstrap-responsive.css, HTTP/1.1, 200, 0.002921
127.0.0.1, 2012-08-11 03:58:42, GET, /ecommerce/static/js/web2py.js, HTTP/1.1, 200, 0.002459
127.0.0.1, 2012-08-11 03:58:42, GET, /ecommerce/static/js/jquery.js, HTTP/1.1, 200, 0.004906
127.0.0.1, 2012-08-11 03:58:42, GET, /ecommerce/static/js/bootstrap.js, HTTP/1.1, 200, 0.001756
127.0.0.1, 2012-08-11 03:58:42, GET, /ecommerce/static/img/glyphicons-halflings.png, HTTP/1.1, 200, 0.000569
127.0.0.1, 2012-08-11 04:03:03, GET, /product/list, HTTP/1.1, 200, 0.049381
127.0.0.1, 2012-08-11 04:03:03, GET, /ecommerce/static/css/bootstrap.css, HTTP/1.1, 200, 0.003640
127.0.0.1, 2012-08-11 04:03:03, GET, /ecommerce/static/js/jquery.js, HTTP/1.1, 200, 0.002182
127.0.0.1, 2012-08-11 04:03:03, GET, /ecommerce/static/css/calendar.css, HTTP/1.1, 200, 0.001950
127.0.0.1, 2012-08-11 04:03:03, GET, /ecommerce/static/css/bootstrap-responsive.css, HTTP/1.1, 200, 0.003470
127.0.0.1, 2012-08-11 04:03:03, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 200, 0.003963
127.0.0.1, 2012-08-11 04:03:03, GET, /ecommerce/static/js/calendar.js, HTTP/1.1, 200, 0.002922
127.0.0.1, 2012-08-11 04:03:03, GET, /ecommerce/static/js/web2py.js, HTTP/1.1, 200, 0.001250
127.0.0.1, 2012-08-11 04:03:03, GET, /ecommerce/static/js/bootstrap.js, HTTP/1.1, 200, 0.001256
127.0.0.1, 2012-08-11 04:03:03, GET, /ecommerce/static/img/glyphicons-halflings.png, HTTP/1.1, 200, 0.000658
127.0.0.1, 2012-08-11 04:03:04, GET, /favicon.ico, HTTP/1.1, 200, 0.000643
127.0.0.1, 2012-08-11 04:03:19, GET, /product/list/export, HTTP/1.1, 303, 0.025989
127.0.0.1, 2012-08-11 04:03:19, GET, /product/list, HTTP/1.1, 200, 0.044405
127.0.0.1, 2012-08-11 04:03:19, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 200, 0.000572
127.0.0.1, 2012-08-11 04:03:27, GET, /product/list/view/product/4, HTTP/1.1, 303, 0.025510
127.0.0.1, 2012-08-11 04:03:27, GET, /product/list, HTTP/1.1, 200, 0.050060
127.0.0.1, 2012-08-11 04:03:27, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 200, 0.000542
127.0.0.1, 2012-08-11 04:03:33, GET, /product/list/view/product/3, HTTP/1.1, 303, 0.027953
127.0.0.1, 2012-08-11 04:03:33, GET, /product/list, HTTP/1.1, 200, 0.055289
127.0.0.1, 2012-08-11 04:03:33, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 200, 0.000521
127.0.0.1, 2012-08-11 04:03:33, GET, /product/list/view/product/2, HTTP/1.1, 303, 0.030326
127.0.0.1, 2012-08-11 04:03:33, GET, /product/list, HTTP/1.1, 200, 0.052948
127.0.0.1, 2012-08-11 04:03:34, GET, /product/list/view/product/1, HTTP/1.1, 303, 0.025380
127.0.0.1, 2012-08-11 04:03:34, GET, /product/list, HTTP/1.1, 200, 0.043599
127.0.0.1, 2012-08-11 04:03:35, GET, /product/list/view/product/5, HTTP/1.1, 303, 0.022312
127.0.0.1, 2012-08-11 04:03:35, GET, /product/list, HTTP/1.1, 200, 0.044834
127.0.0.1, 2012-08-11 04:03:35, GET, /product/list/view/product/4, HTTP/1.1, 303, 0.021970
127.0.0.1, 2012-08-11 04:03:35, GET, /product/list, HTTP/1.1, 200, 0.047812
127.0.0.1, 2012-08-11 04:03:36, GET, /product/list/view/product/3, HTTP/1.1, 303, 0.027341
127.0.0.1, 2012-08-11 04:03:36, GET, /product/list, HTTP/1.1, 200, 0.052637
127.0.0.1, 2012-08-11 04:03:36, GET, /product/list/view/product/2, HTTP/1.1, 303, 0.021373
127.0.0.1, 2012-08-11 04:03:36, GET, /product/list, HTTP/1.1, 200, 0.045567
127.0.0.1, 2012-08-11 04:03:36, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 200, 0.000709
127.0.0.1, 2012-08-11 04:03:37, GET, /product/list/view/product/1, HTTP/1.1, 303, 0.020641
127.0.0.1, 2012-08-11 04:03:37, GET, /product/list, HTTP/1.1, 200, 0.045134
127.0.0.1, 2012-08-11 04:04:14, GET, /product/list, HTTP/1.1, 200, 0.065659
127.0.0.1, 2012-08-11 04:04:14, GET, /ecommerce/static/js/jquery.js, HTTP/1.1, 200, 0.003847
